romaji,kanji,meaning
shinshu,新種,new variety type
hakken,発見,discovery
arasou,争う,to fight
kozou,小僧,youngster
fuyukai,不愉快,unpleasant
kiwami,極み,extreme
kiwameru,極める,to master
tobasu,飛ばす,to fly send flying
minogasu,見逃す,to miss overlook
odoshi,威し,intimidating intimidation
dougu,道具,tool instrument
hikyou,卑怯,unfair
seija,聖者,saint
hakike,吐き気,nausea
kizutsukeru,傷つける,to hurt
gunkan,軍艦,battleship warship
enmaku,煙幕,smokescreen smoke screen
yudan,油断,negligence carelessness
nigeru,逃げる,to escape run away
hitojichi,人質,hostage
chikushou,畜生,damn it dammit damnit
kaibutsu,怪物,monster beast
onikiru,恩にきる,thank you
ude,腕,arm
buji,無事,safe safety
onore,己,self
hiriki,非力,powerless powerlessness
idai,偉大,great greatness
ichimi,一味,crew member
azukeru,預ける,to deposit
ikari,錨,anchor
nakama,仲間,friend ally comrade
hata,旗,flag
mubou,無謀,reckless
shounen,少年,young boy boys
ichidan,一団,group team
sounan,遭難,get lost
uzu,渦,swirl vortex
chishiki,知識,knowledge
igai,以外,other than
zatsuyou,雑用,chores
nakami,中身,contents
sakagura,酒蔵,sake brewery
mochiron,勿論,of course
shinnyuusha,侵入者,invader intruder
uragiri,裏切り,betrayl treason
shoukinkasegi,賞金稼ぎ,bounty hunter
atari,辺り,around nearby vicinity
suisei,彗星,comet
fukai,深い,deep profound
kyuusoku,休息,rest
kanoke,棺桶,coffin casket
tsukuru,造る,to make
kekkyoku,結局,after all in the end
tsuri,釣り,fishing
hyouryuu,漂流,drifting drift
dokyou,度胸,courage bravery
shougou,称号,title
kurayami,暗闇,dark darkness
chouten,頂点,apex peak top
tame,為,for the sake of
yatou,雇う,to hire employ
teisei,訂正,correction revision
kiku,効く,to take effect
bakemono,化物,monster
seki,隻,ship counter
kichi,基地,base
yokogao,横顔,profile face
yowaru,弱る,to weaken
genjitsu,現実,reality
buki,武器,weapon weapons
hakai,破壊,destruction
zenmetsu,全滅,annihilation destruction
majuu,魔獣,demon beast
toshokan,図書館,library
hada,肌,skin
seiri,整理,organize arrangement
seigen,制限,limit limits
yuushuu,優秀,excellent brilliant
koishii,恋しい,yearned longed missed
koukyuu,高級,high grade premium
kizoku,貴族,noble aristocrat
kaikyuu,階級,class grade rank
take,竹,bamboo
karu,狩る,to hunt
imyou,異名,nickname alias
yaken,野犬,stray dog
sugata,姿,appearance
kaihei,海兵,marines marine
kinku,禁句,forbidden taboo phrase
taisa,大佐,colonel captain
myou,妙,odd strange
dassou,脱走,escape
kagiranai,限らない,not exclusively
kabin,過敏,too nervous sensitive
youna,様な,such as
hara,腹,belly abdomen stomach
hakuryoku,迫力,impact intense appeal
nawa,縄,rope
musuko,息子,son
zainin,罪人,criminal
shikei,死刑,death penalty
hei,塀,wall fence
meirei,命令,order command
tadaima,只今,right away
akutou,悪党,scoundrel villian
gokurou,ご苦労,thanks for your work
hyouban,評判,reputation
jouken,条件,conditions terms
jiriki,自力,ones own strength
nashitogeru,成し遂げる,to accomplish
gashi,餓死,starvation starve to death
tamanegi,玉ねぎ,onion
jimoto,地元,local
taikutsu,退屈,bored boring
fuman,不満,dissatisfaction discontent
serifu,台詞,words line
shibireru,痺れる,to go numb
mendan,面談,interview
tensou,転送,transfer forwarding
nyuusha,入社,to enter a company
oubo,応募,application
harahetta,腹減った,im hungry
uwasadoori,噂通り,as rumored
ookami,狼,wolf
nobanashi,野放し,run loose uncontrolled
kishou,気性,temper
tsumi,罪,crime
sakaraeba,逆らえば,if you go against
shokei,処刑,execution
karinimo,仮にも,even if
koukai,後悔,regret remorse
kachi,価値,value
honkan,本館,main building
erai,偉い,great
choumin,町民,townspeople town people
noukin,納金,payment
futokoro,懐,inside ones clothing
keifuku,敬服,great admiration
souzoushii,騒々しい,noisy loud
kanyuu,勧誘,invitation to a group
kononde,好んで,by choice
motomoto,元々,originally
seken,世間,world society
shinnen,信念,belief faith
seishun,青春,youth adolescent
samazama,様々,various
eikyou,影響,influence effect
moto,元,origin
honyaku,翻訳,written translation
dokusha,読者,reader
gensaku,原作,original work
oubei,欧米,europe and the us
shuukanshi,週刊誌,weekly magazine
shoujo,少女,young girl girls
shuppan,出版,publication publishing
miryoku,魅力,attraction
omoiukabu,思い浮かぶ,to come to mind
kakuritsu,確立,establishment
igaku,医学,medical science
hakase,博士,doctor dr
ka,-家,specialist expert
sakuhin,作品,a work
honmyou,本名,real name
jinbutsu,人物,person character
housou,放送,broadcast broadcasting
tetsugaku,哲学,philosophy
geijutsu,芸術,art the arts
uchuu,宇宙,universe space
riron,理論,theory
muimi,無意味,meaningless
jinrui,人類,mankind human beings
atonitsuzuku,後に続く,to follow after
sedai,世代,generation
aijou,愛情,love affection
tsugeru,告げる,to tell
genkai,限界,limit bound
futon,布団,futon
hadaka,裸,naked
hiza,膝,knee
hiji,肘,elbow
kibai,騎馬位,cowgirl
seijoui,正常位,missionary
taimenzai,対面座位,face to face sitting
musume,娘,daughter
byou,秒,seconds second s
waki,脇,armpit side
shoumeisho,証明書,certificate
shikaeshi,仕返し,revenge retaliation
riyou,利用,use application
hangyakusha,反逆者,traitor
jikijiki,直々,personally directly
kenryoku,権力,power authority
shouchou,象徴,symbol
kansei,完成,complete completion
nengan,念願,hearts desire wish
shimesu,示す,to show
sousou,早々,soon immediately
shuuzen,修繕,repair
zou,像,statue
tate,盾,shield
taeru,耐える,to stand
shinkenni,真剣に,seriously
onjin,恩人,benefactor patron
kumu,組む,to cross unite
taku,炊く,to cook rice
iki,息,breath breathing
keikou,傾向,tendency
dentougeinou,伝統芸能,traditional performance
kyougen,狂言,comical play
kagaku,科学,science
kanja,患者,patient
kougi,講義,lecture
jikken,実験,experiment
heikin,平均,average mean
agaru,上がる,to go up
saibou,細胞,cell of organism
gan,癌,cancer
heru,減る,to decrease
koui,行為,act behavior
chuushin,中心,center
geki,劇,play drama on stage
kerai,家来,subordinate servant
choujinteki,超人的,superhuman super human
higeki,悲劇,tragedy tragic
shujinkou,主人公,main character
tachiba,立場,position standpoint
fuushi,風刺,satire
muryoku,無力,powerless powerlessness
mibun,身分,social position status
doku,毒,poison
oke,桶,wooden bucket
kurozatou,黒砂糖,brown black sugar
kakejiku,掛け軸,japanese scroll painting
yaburu,破る,to tear break
chawan,茶碗,rice bowl
mijika,身近,close to someone handy
tsumasaki,つま先,toe toes
settoku,説得,persuasion persuade
koushou,交渉,negotiation negotiations
kaku,掻く,to scratch itch
hagemasu,励ます,to cheer up
awatadashii,慌ただしい,busy hectic
terasu,照らす,to shine illuminate
shizumu,沈む,to sink feel depressed
fui,不意,sudden
kizetsu,気絶,faint swoon
douzen,同然,just like
kamaeru,構える,to get ready
shousha,勝者,winner victor
tokkun,特訓,special training
kengou,剣豪,master swordsman
gyaku,逆,reverse opposite
hikyou,卑怯,cowardly unfairly
mokuhyou,目標,goal aim
jitsuryoku,実力,real ability
kaidan,階段,stairs
moroi,脆い,brittle fragile
tengoku,天国,heaven
todoku,届く,to reach be delivered
kagiri,限り,as long as
juudan,銃弾,bullet
musubi,結び,knot
katahou,片方,one side
todoroku,轟く,to roar
dannen,断念,give up
harakiri,腹切り,ritual suicide
shimatsu,始末,disposal of something
ittai,一体,what in the world
wareware,我々,we
yowane,弱音,whine
jigai,自害,suicide
guntai,軍隊,armed forces troops
kenri,権利,right rights
kakugo,覚悟,readiness
nanoru,名乗る,to give ones name
toraeru,捉える,to catch capture
taoreru,倒れる,to fall collapse
kaihou,解放,release
shihai,支配,domination
muchakucha,無茶苦茶,absurd unrealistic
kukkyou,屈強,strong
kouro,航路,sea route course
jijitsu,事実,fact
sujou,素性,identity
nyuutai,入隊,enlist enlistment
jisshitsu,実質,substantially
sokkoku,即刻,immediately
giri,義理,duty honor
honbu,本部,headquarters
soudou,騒動,strife trouble
shinyou,信用,trust
doushi,同志,fellow
kyoka,許可,permission permit
shibai,芝居,acting play
goon,御恩,good will kindness
hi,費,cost expense
kasegu,稼ぐ,to earn
maigo,迷子,lost person stray
okage,お陰,grace benevolence
oboreru,溺れる,to be drowned
gaku,額(gaku),price amount picture frame
zeigomi,税込み,tax included
zonjiru,存じる,to know honorably
kakunin,確認,confirmation
kanrei,寒冷,cold coldness
zensen,前線,weather front
gochuui,ご注意,caution warning
tenkou,天候,weather
ayatsuru,操る,to operate control
douke,道化,clown jester
houdan,砲弾,shell cannonball
taihou,大砲,cannon
oyabun,親分,boss leader
kobun,子分,henchmen follower
sudede,素手で,unarmed barehanded
senmon,専門,specialist speciality
moukaru,儲かる,to be profitable
houseki,宝石,gem jewel
sakaba,酒場,bar pub tavern
okujou,屋上,roof rooftop
tsuiseki,追跡,chase
abareru,暴れる,to act violently to rage to struggle
hokan,保管,storage
okashii,可笑しい,funny weird
gokai,誤解,misunderstanding
makka,真っ赤,bright red
youi,用意,preparation arrangement
kinpin,金品,money and goods
kaishuu,回収,collection
hinan,避難,evacuation
sakeru,避ける,to avoid
sonoue,その上,in addition
kijutsu,奇術,magic
akisu,空巣,thief
katou,下等,inferior
nami,並,average
saku,策,scheme
tenmongaku,天文学,astronomy
gishi,技師,engineer technician
naruhodo,なるほど,i see
chikau,誓う,to swear
ryakudatsusha,略奪者,looter robber
kairiki,怪力,superhuman strength
sorotte,揃って,all together
sennyuu,潜入,infiltration sneaking in
jouhou,情報,information
kuwawaru,加わる,to be added
kaichou,快調,good
zonbun,存分,to ones hearts content
kakki,活気,energy liveliness
shingao,新顔,new face
jinjou,尋常,common usual
yosou,予想,expectation prediction
tanjun,単純,simple plain
banji,万事,all everything
urami,恨み,resentment grudge
shobun,処分,dispoal punishment
iryoku,威力,power
hade,派手,showy flashy
chuusei,忠誠,loyalty
dourui,同類,the same kind type
tenka,点火,ignition lighting
chuutohanpa,中途半端,unfinished incomplete
shikata,仕方,way method
doukasen,導火線,fuse
ikioi,勢い,force energy
ubau,奪う,to take away
hi,火,fire flame
uku,浮く,to float
kyuusho,急所,vital weak point
soutou,相当,appropriate
fukade,深手,severe wound
keisei,形勢,condition
ryoukai,了解,got it understood
tetsu,鉄,iron
yakkai,厄介,troublesome
sensenfukoku,宣戦布告,declaration of war
irai,以来,since
mawasu,回す,to spin rotate
kamau,構う,to care about
katte,勝手,selfish
jitai,事態,situation circumstances
michibata,道端,roadside wayside
kurou,苦労,hardship difficulty
mukuwareru,報われる,to be paid off
kowappa,小童,boy brat
shika,鹿,deer
tora,虎,tiger
tanuki,狸,raccoon
inoshishi,猪,wild boar
nezumi,鼠,mouse rat
ushi,牛,cow
tatsu,辰,dragon
uma,馬,horse
hitsuji,羊,sheep
kirin,麒麟,giraffe
kaeru,蛙,frog
yagi,山羊,goat
hyou,豹,leopard
shishi,獅子,lion
nyuuin,入院,hospitalization hospitalized
otakebi,雄叫び,roar
fubin,不憫,poor pathetic
shikkei,失敬,rudeness
anshin,安心,relief
chouhatsu,挑発,provocation
shosen,所詮,after all
soku,即,instant instantly
kyuukutsu,窮屈,cramped
jiman,自慢,boast brag
banken,番犬,watchdog
tashou,多少,somewhat
kudaku,砕く,to break
nobiru,伸びる,to stretch
osou,襲う,to attack assault
tama,玉,ball
chaban,茶番,farce charade
teate,手当て,treatment
yuka,床,floor
sentakuki,洗濯機,washing machine washer
kansouki,乾燥機,drying machine dryer
gamen,画面,screen
utsusu,移す,to transfer
najimu,馴染む,to become familiar with
tsubusu,潰す,to smash crush
arai,荒い,rough
shuugou,集合,gathering assembly
shoubu,勝負,match contest
shouchi,承知,consent
oseji,お世辞,flattery compliment
moriagaru,盛り上がる,to get excited
naoru,治る,to recover
juushou,重傷,serious wound injury
makaseru,任せる,leave to someone
shimei,氏名,full name
idomu,挑む,to challenge to attempt
shiranshi,知らんし,how would I know
yuiitsu,唯一,the only
biyouin,美容院,hair salon
someru,染める,to dye
setsuyaku,節約,money savings
chokin,貯金,savings
sugosu,過ごす,to spend time
suihanki,炊飯器,rice cooker
nabe,鍋,pot
furaipan,フライパン,pan
shuchuuni,手中に,to take possession of
honmou,本望,long cherished ambition
unuboreru,自惚れる,to be conceited
muyou,無用,useless
jousaku,上策,good scheme
nagoya,名古屋,nagoya
donichi,土日,weekend saturday and sunday
jisa,時差,time difference
houkoku,報告,report
hitosawagase,人騒がせ,troublemaker
kutsujoku,屈辱,disgrace humiliation
ikari,怒り,anger rage
kaisen,開戦,start of a war
kouei,光栄,honor
keru,蹴る,to kick
aibou,相棒,partner
sainan,災難,misfortune disaster
manzoku,満足,satisfaction contentment
kenshi,剣士,swordsman
juubun,充分,enough sufficient
kentou,健闘,fight bravely
kyokugi,曲技,acrobatic feats
gekijou,劇場,theater
nouryou,納涼,escaping the heat
osaeru,抑える,to pin down
shitomeru,仕留める,to bring down kill
gyoi,御意,as you wish
oni,鬼,demon
tsutsushimu,慎む,to be careful
burei,無礼,rudeness impoliteness
hamono,刃物,cutlery edged tool
kuuchuu,空中,in the air
bunkai,分解,disassembly decomposition
douri,道理,reason logic
kinniku,筋肉,muscle
kan,巻(kan),volume
suji,筋,tendon sinew
koya,小屋,hut cabin
bakuon,爆音,sound of an explosion
hiretsu,卑劣,mean despicable
nadakai,名高い,famous
jihatsuteki,自発的,voluntary
utagoe,歌声,singing voice
shigusa,仕草,gesture
akinai,商い,trade business
futatabi,再び,again
bakudai,莫大,vast huge
hokkyoku,北極,north pole
nankyoku,南極,south pole
kagen,加減,degree extent
shirusu,記す,to write down
jinsei,人生,human life
jiritsu,自立,independence
sentou,戦闘,battle fight
betsubetsu,別々,separate respective
kataru,語る,to narrate
chin,珍,rare strange
mezurashii,珍しい,unusual rare
hakaku,破格,extraordinary
megami,女神,goddess female deity
hohoemi,微笑み,smile
minarai,見習い,apprenticeship trainee
minaoshi,見直し,review
kousaku,工作,handicraft work
saikyou,最強,strongest
kessei,結成,formation combination
hodohodo,程々,moderate
kyoman,巨万,huge fortune
kahanshin,下半身,lower half of body
jouhanshin,上半身,upper half of body
sekkyou,説教,sermon scolding
jiron,持論,ones opinion theory
engo,援護,covering protecting
meichuu,命中,direct hit
chirabaru,散らばる,to be scattered
shitsu,質,quality
mitomeru,認める,to recognize admit
utagau,疑う,to doubt suspect
shiwaza,仕業,deed act
sakki,殺気,bloodlust
iiwake,言い訳,excuse
roji,路地,alley alleyway
innen,因縁,fate destiny
joutai,状態,condition situation
hidou,非道,inhumane
yamahodo,山程,lots of
ho,帆,sail
zetsubou,絶望,despair hopelessness
oukyuushochi,応急処置,emergency measure
ana,穴,hole
fusagu,塞ぐ,to cover up
shokuryou,食糧,food supply
shinro,進路,route
joudeki,上出来,good work
minka,民家,private house
oshii,惜しい,regrettable close
ippo,一歩,one step
shunkan,瞬間,moment instant
sabaki,裁き,judgement
horobosu,滅ぼす,to destroy overthrow
hazu,筈,should be
ayashii,怪しい,suspicious fishy
eien,永遠,eternity
kyodai,巨大,huge gigantic
tayasui,容易い,easy
izen,以前,ago since
seni,戦意,fighting spirit
shinobi,忍び,stealth sneaking
susamajii,凄まじい,terrific
rikou,利口,clever
miren,未練,regret attachment
jouriku,上陸,landing disembarkment
kanata,彼方,way over there
kogeru,焦げる,to get burnt
nukeru,抜ける,to come out
ikudo,幾度,many times
tsuini,ついに,finally
aichaku,愛着,attachment
kudamono,果物,fruit
inshoku,飲食,eating and drinking
motomeru,求める,to want wish for
soubi,装備,equipment
hogaraka,朗らか,cheerful merry sunny
semeru,攻める,to attack
shigeki,刺激,stimulus provocation
tane,種,seed
shuushuu,収集,collecting collection
jumyou,寿命,life expactancy
tannaru,単なる,mere simple
yokei,余計,extra unnecessary
zatsu,雑,rough crude
semeru,責める,to accuse blame
to,戸,door
tabako,煙草,tobacco cigarette
shinbun,新聞,newspaper
kutsu,靴,shoe shoes
hashi,橋,bridge
jidousha,自動車,car automobile
yuubinkyoku,郵便局,post office
ike,池,lake
kyoushitsu,教室,classroom
kitte,切手,stamp
daidokoro,台所,kitchen
katei,家庭,home household
genkan,玄関,entrance entryway
fuutou,封筒,envelope
hen,辺,area
kousaten,交差点,crossing intersection
sebiro,背広,business suit
haizara,灰皿,ashtray
mannenhitsu,万年筆,fountain pen
taishikan,大使館,embassy
kouban,交番,police station
kabin,花瓶,vase
hondana,本棚,bookshelves bookshelf
sekken,石鹸,soap
ame,飴,sugar candy
yaoya,八百屋,fruit and vegetable shop
amari,あまり,not much
seito,生徒,student
kakeru,掛ける,to hang up
yuube,夕べ,evening
noboru,上る,to ascend climb
tori,鳥,bird
keikan,警官,police officer policeman
iya,嫌,disagreeable unpleasant
uwagi,上着,coat jacket
ikutsu,いくつ,how many how old
watasu,渡す,to ferry deliver
youfuku,洋服,western style clothes
shimeru,締める,to tie
bunshou,文章,composition essay
usui,薄い,thin faint
yoko,横,horizontal
joubu,丈夫,healthy strong
hosoi,細い,thin slender
rouka,廊下,corridor hallway
tate,縦,vertical
iru,いる,to exist
takusan,たくさん,a lot many
furu,降る,to fall (rain snow)
tsukeru,付ける,to attach
choudo,ちょうど,exactly precisely
ikura,いくら,how much
dandan,段々,gradually
urusai,煩い,noisy loud
tsumaranai,つまらない,boring
massugu,まっすぐ,straight ahead
obaasan,お祖母さん,grandmother grandma
atsui,厚い,thick
naraberu,並べる,to line stuff up
mazui,不味い,bad taste terrible
nigiyaka,賑やか,bustling crowded lively
naku,鳴く,to make animal sounds
sasu,差す,to raise
rei,零,zero 0
yoku,良く,well
se,背,back spine
mon,門,gate
iriguchi,入口,entrance
deguchi,出口,exit
nurui,ぬるい,lukewarm
oku,奥,inner part
jimen,地面,ground earths surface
kunrin,君臨,reigning
tataeru,称える,to praise
hokori,誇り,pride boast
bachigai,場違い,inappropriate
yashiki,屋敷,estate mansion
imagoro,今頃,around this time
konro,コンロ,cooking stove
byoujaku,病弱,week sickly
isan,遺産,inheritance heritage
zeitaku,贅沢,luxury
tsurekomu,連れ込む,to bring someone inside
honmono,本物,real thing
akueikyou,悪影響,bad influence
oyobi,及び,and as well as
banzen,万全,perfection flawless
katakurushii,堅苦しい,formal strict
yuukan,勇敢,brave
senshi,戦士,soldier warrior
itsuwaru,偽る,to lie pretend
shitau,慕う,to respect
tegara,手柄,achievement feat
yaban,野蛮,savage barbaric
shinjitsu,真実,truth reality
shounin,商人,merchant trader
inamenai,否めない,cannot deny undeniable
houdai,放題,all you can do
bouryoku,暴力,violence
takurami,企み,plot scheme
ningyou,人形,doll puppet
kaigan,海岸,coast beach
sangyou,産業,industry
suidou,水道,water supply
hikoujou,飛行場,airport
jiko,事故,accident
houritsu,法律,law
kibun,気分,feeling mood
inaka,田舎,rural area countryside
koshou,故障,out of order
juusho,住所,address
tokubetsu,特別,special
suiei,水泳,swimming swim
seisan,生産,production manufacture
omocha,おもちゃ,toy
boueki,貿易,international trade
kajou,過剰,excess surplus
touji,当時,at that time
kouyuu,交友,friend companion
taimen,対面,meeting face to face
okurimono,贈り物,present gift
bungaku,文学,literature
ha,葉,leaf blade of grass
koutsuu,交通,transport
kagami,鏡,mirror
medatsu,目立つ,to stand out
koudou,行動,action behavior
ansatsu,暗殺,assassination
keisan,計算,calculation
migawari,身代わり,substitution substitute
denpou,電報,telegram telegraph
kouchou,校長,principal
kougai,郊外,suburb
suna,砂,sand
kime,絹,silk
ito,糸,thread
kyouryoku,協力,cooperation collaboration
morau,貰う,to receive
fuun,不運,misfortune bad luck
kanzen,完全,perfect perfection
aizu,合図,sign signal
tenrankai,展覧会,exhibition
chuushajou,駐車場,parking lot
seiyou,西洋,the west western
saka,坂,slope incline
chuusha,注射,injection shot
norimono,乗り物,vehicle
souzoku,相続,succession inheritance
tanin,他人,other people
isho,遺書,will testament
zaisan,財産,property fortune assets
seiritsu,成立,formation establishement
hayashi,林,wood woods
kaigishitsu,会議室,conference meeting room
kenkyuushitsu,研究室,laboratory lab
juudou,柔道,judo
koutougakkou,高等学校,high school
koumuin,公務員,government worker
jiten,辞典,dictionary
tsukihi,月日,time years
shinrai,信頼,reliance trust
shugisha,主義者,advocate believer
oki,沖,open sea
kuruu,狂う,to go crazy
jiken,事件,incident trouble
seijitsu,誠実,sincere honest
oshiire,押し入れ,closet
miso,味噌,miso
sofu,祖父,grandfather grandpa
kinjo,近所,neighborhood
kenbutsu,見物,sightseeing
juubun,十分,enough sufficient
shina,品(shina),article item
kage,崖,cliff
mokei,模型,model
misokonau,見損なう,to misjudge misread
boukou,暴行,assault violence
tsuma,妻,wife
omoidasu,思い出す,to recall remember
susumu,進む,to advance go forward
tooru,通る,to go by
henji,返事,reply response
otto,夫,husband
misemono,見世物,exhibition spectacle
sekkei,設計,plan design
takanaru,高鳴る,to throb beat fast
chikei,地形,terrain topography
abura,油,oil
konya,今夜,this evening tonight
taitei,たいてい,mostly usually
yakunitatsu,役に立つ,to be helpful useful
kikai,機会,chance opportunity
genin,原因,cause
kisoku,規則,rule regulation
okonau,行う,to perform to do
hoshi,星,star planet
jimusho,事務所,office
kowareru,壊れる,to be broken
kuwaeru,咥える,to hold in ones mouth
shinchou,身長,body height
taijuu,体重,body weight
nenrei,年齢,age years
guai,具合,condition
sobo,祖母,grandmother grandma
sagaru,下がる,to come down
kisha,汽車,steam train
tanoshimi,楽しみ,looking forward to
chuukoku,忠告,advice warning
baishuu,買収,acquisition
kazakami,風上,windward upwind
kanjin,肝心,essential important
jigoku,地獄,hell
inai,以内,within less than
tana,棚,shelf rack
kusa,草,grass weed
daitai,だいたい,generally mostly
sen,線,line stripe
kyuusen,休戦,cease fire truce
midasu,乱す,to disturb
kaifuku,回復,restoration recovery
ninzuu,人数,number of people
shitajiki,下敷き,being pinned under crushed beneath
shukketsu,出血,bleeding
kotori,小鳥,small little bird
norikaeru,乗り換える,to change trains bus
eda,枝,branch twig
tenin,店員,employee staff
hieru,冷える,to get chilly cool down
mi,身,body
hisshi,必死,frantic desperate
hiniku,皮肉,irony sarcasm
kyuuka,休暇,holiday
reisei,冷静,calmness calm
ura,裏,opposite side behind
mannaka,真ん中,middle center
omote,表(surface),surface front
kureru,暮れる,to get dark
hiruma,昼間,daytime during the day
kyuukou,急行,rapid (train)
mataha,または,or either
dentou,電灯,electric light
sekinin,責任,responsbility duty
atsukau,扱う,to deal with
deban,出番,ones turn shift
hone,骨,bone
kougeki,攻撃,attack
hyouteki,標的,target
komakai,細かい,small fine
kachou,課長,section manager
sakan,盛ん,prosperous flourishing thriving
danbou,暖房,heater
uriba,売り場,sales selling area
taiin,退院,leaving hospital
jijou,事情,circumstances situation
saiaku,最悪,worst horrible terrible
youi,容易,easy simple
seiron,正論,fair just reasoning
fuben,不便,inconvenience inconvenient
shokuryouhin,食料品,groceries
geshuku,下宿,boarding lodging
koudou,講堂,lecture hall
utsusu,写す,to transcribe copy
kougyou,工業,industry manufacturing
reibou,冷房,air conditioner
tatami,畳,tatami mat
wakasu,沸かす,to boil
ukeru,漬ける,to pickle
tokkyuu,特急,limited express train
tomeru,止める,to stop
okureru,遅れる,to be late
jikkou,実行,proceed
atsukai,扱い,treatment handling
muon,無音,silence
kehai,気配,indication sensation
nogareru,逃れる,to escape
kimyou,奇妙,strange odd
onkou,温厚,gentle mild mannered
nokorazu,残らず,all entirely completely
shibou,脂肪,fat
goi,語彙,vocabulary
choukai,聴解,listening comprehension
dokkai,読解,reading comprehension
kaitou,解答,answer answers
aisuru,愛する,to love
amaru,余る,to remain be in excess
aratameru,改める,to change
arasu,荒らす,to damage
nemuru,眠る,to sleep
tazuneru,尋ねる,to ask
niru,似る,to look like
ugoku,動く,to move
shiraseru,知らせる,to notify inform
naru,鳴る,to sound ring
fukkatsu,復活,revival
saishuu,最終,last final
heion,平穏,peaceful
igokochi,居心地,comfort
ichi,位置,position location
waza,技,technique
rikutsu,理屈,logic
juuyou,重要,important
gyakuten,逆転,reversal
nakunaru,亡くなる,to die
shibaraku,しばらく,for some time
machigaeru,間違える,to make a mistake
mawaru,回る,to rotate revolve
homeru,褒める,to compliment
yamu,止む,to stop
tsukamaeru,捕まえる,to catch capture
tateru,立てる,to stand up
nureru,濡れる,to get wet
haisha,歯医者,dentist
yureru,揺れる,to shake
tamani,たまに,occasionally sometimes
kamu,噛む,to bite chew
suberu,滑る,to slip
teokure,手遅れ,being too late
jou,情,feeling compassion
sukuu,救う,to rescue save
kanawanai,敵わない,no match for
katsugu,担ぐ,to shoulder
ou,追う,to chase
wareru,割れる,to break
oreru,折れる,to break fracture
utsuru,移る,to move
ueru,植える,to plant
hikaru,光る,to shine
yakeru,焼ける,to be burnt
torikaeru,取り替える,to exchange swap
kawaku,乾く,to get dry
tsuru,釣る,to fish
narubeku,なるべく,as much as possible
asai,浅い,shallow superficial
tokoya,床屋,barbershop barber shop
yari,槍,spear lance
yoso,余所,somewhere else
ninmu,任務,duty mission
haiken,拝見,seeing honorably
tasu,足す,to add
otsuri,お釣り,change for a purchase
wasuremono,忘れ物,lost item
tsuku,付く,to be attached
kangoshi,看護師,nurse
untenshu,運転手,driver
momen,木綿,cotton
keshigomu,消しゴム,eraser
you,用,task use purpose
uchi,内,inside within
kanai,家内,my wife
hijouni,非常に,very extremely
konogoro,この頃,these days recently
konoaida,この間,the other day lately
hiruyasumi,昼休み,lunch break
shoujiki,正直,honest
icchi,一致,agreement match
futai,舞台,stage
kifu,寄付,donation
hyoudou,平等,equality
sayuu,左右,left and right
kinzoku,金属,metal
shuudan,集団,group
ne,根,root
kusari,鎖,chain chains
ressha,列車,train railway
hahaoya,母親,mom mother
chichioya,父親,dad father
uwasa,噂,rumor report gossip
douro,道路,road
kikai,機械,machine
chikyuu,地球,earth the globe
guuzen,偶然,coincidence accidentally
chuushoku,昼食,lunch
orashi,嵐,storm
oka,丘,hill
daitouryou,大統領,president
enzetsu,演説,speech
dokusho,読書,reading
shi,詩,poem
uso,嘘,lie
shuunyuu,収入,income
shijin,詩人,poet
kaiketsu,解決,solution resolution
gakusha,学者,scholar academic
sakka,作家,author writer
chiiki,地域,area region
souon,騒音,noise sound
gimu,義務,duty obligation
rieki,利益,profit
shokubutsu,植物,plant
kyouju,教授,professor
itami,痛み,pain ache
sekiyu,石油,oil petroleum
shinpo,進歩,progress improvement
kanjou,感情,emotion
yane,屋根,roof
gichou,議長,chairman chairperson
hiyou,費用,cost expense
hitei,否定,denial
shou,賞,prize award
kakaku,価格,price
hanzai,犯罪,crime
shougo,正午,noon
hyouka,評価,valuation assessment
ishi,意志,will intention
shokugyou,職業,occupation
jisatsu,自殺,suicide
taiho,逮捕,arrest
bakuhatsu,爆発,explosion
kiroku,記録,record
zutsuu,頭痛,headache head ache
keiyaku,契約,contract agreement
haiyuu,俳優,actor actress
dokuritsu,独立,independence
kioku,記憶,memory
kouhei,公平,fairness fair
shuu,州,state
goutou,強盗,robber
yunyuu,輸入,import
kiji,記事,article
kiri,霧,fog
ishi,医師,doctor
kinen,禁煙,abstaining from smoking
akushu,握手,handshake hand shake
yuushou,友情,friendship
kaori,香り,scent
houkou,方向,direction
kigyou,企業,enterprise corporation
kunren,訓練,training
kyuukei,休憩,rest break
nagare,流れ,flow
yakuwari,役割,part role
shomei,署名,signature
muryou,無料,free
chuusha,駐車,parking
genkin,現金,cash
tou,塔,tower
kyougi,競技,game match
hakubutsukan,博物館,museum
kami,神,god
shuu,週,week
seibutsu,生物,living thing
shoumei,証明,proof certification
touhyou,投票,voting
shinsatsu,診察,medical examination
shoutotsu,衝突,collision conflict
kage,影,shadow silhouette
shinzou,心臓,heart
yushutsu,輸出,export exportation
kata,型,model
hyoujou,表情,facial expression
hatake,畑,field
kaizen,改善,improvement
i,胃,stomach
joou,女王,queen
tsuugaku,通学,commuting to school
seinen,青年,youth young man
tetsudou,鉄道,railroad railway rail
kaminari,雷,lightning thunder
kankyaku,観客,audience
kago,かご,basket
shuukaku,収穫,harvest crop
kokka,国家,nation
kagaku,化学,chemistry
suimin,睡眠,sleep
tani,単位,unit credit
